DAYS,Date,ASX:ABY,ASX:AWC,ASX:ANN,ASX:ALX,ASX:ANZ,ASX:BHP,ASX:BXB,ASX:CSL,ASX:DTC,ASX:MQG,ASX:NXL,ASX:SHL,ASX:SYD,ASX:TYR,ASX:WBC,,,
197,17/12/2021,4.07,1.84,31.56,6.54,27.63,41.4,10.71,287.21,0.33,202.5,2.12,43.15,8.57,2.69,21.03,,,
198,20/12/2021,3.92,1.84,31.33,6.58,27.25,41.1,10.56,290.74,0.33,203.07,2.18,44.42,8.57,2.7,21.01,,,
199,21/12/2021,4.05,1.86,32.01,6.64,27.32,41.71,10.64,291.83,0.35,203,2.22,45.47,8.6,2.72,21.05,,,
200,22/12/2021,3.92,1.84,30.68,6.57,27.23,41.39,10.59,292.85,0.36,204.19,2.2,45.52,8.67,2.76,21.07,,,
201,23/12/2021,4.06,1.88,31.92,6.73,27.4,41.26,10.64,293.06,0.35,204.25,2.16,46.11,8.68,2.75,21.18,,,
202,24/12/2021,4.1,1.92,32.06,6.64,27.46,41.32,10.65,292.5,0.35,207.21,2.19,46.25,8.69,2.79,21.2,,,
203,29/12/2021,4.11,1.9,32.19,6.87,27.88,41.33,10.74,290.72,0.34,207.36,2.26,46.7,8.69,2.81,21.46,,,
204,30/12/2021,4.11,1.9,32.31,6.89,27.82,41.68,10.76,295.99,0.35,205.4,2.25,46.71,8.69,2.85,21.5,,,
205,31/12/2021,4,1.87,31.51,6.92,27.51,41.5,10.63,290.6,0.34,211.34,2.2,46.63,8.68,2.86,21.35,,,
206,4/01/2022,4.09,1.94,32.86,6.92,28,42.38,10.75,280,0.33,215.73,2.27,46.14,8.69,2.92,21.66,,,
207,5/01/2022,4.2,1.88,32.49,6.89,28.06,42.63,10.99,282.4,0.33,209.3,2.19,45.89,8.69,2.72,21.84,,,
208,6/01/2022,4.38,1.87,32.08,6.76,27.68,42.68,10.63,280,0.33,211.71,2.1,44.32,8.68,2.62,21.48,,,
209,7/01/2022,4.35,1.88,32.88,6.79,28.4,43.73,10.7,277.94,0.34,207.98,2.12,44.82,8.7,2.63,21.75,,,
210,10/01/2022,4.37,1.94,33.74,6.79,28.37,44.78,10.55,283.13,0.33,205.02,2.11,44.35,8.69,2.65,21.83,,,
211,11/01/2022,4.3,2.01,34.01,6.77,28,44.65,10.56,281.7,0.33,208.39,2.14,44.1,8.69,2.64,21.67,,,
212,12/01/2022,4.28,2.01,34.12,6.76,28.03,45.12,10.5,276,0.33,208.78,2.14,43.72,8.69,2.67,21.67,,,
213,13/01/2022,4.28,2,34.25,6.83,28.4,46.85,10.56,278.1,0.33,206.72,2.08,41.27,8.69,2.6,21.73,,,
214,14/01/2022,4.21,2.05,34.1,6.81,28.39,46.68,10.37,273.72,0.33,207.61,2.01,40.79,8.65,2.53,21.45,,,
215,17/01/2022,4.25,2.07,34.38,6.75,28.72,46.15,10.44,270.4,0.34,206.86,2.05,40.27,8.66,2.62,21.47,,,
216,18/01/2022,4.15,2.09,33.47,6.67,28.75,46.7,10.4,271.25,0.33,199.19,2.06,40.09,8.65,2.58,21.41,,,
217,19/01/2022,3.65,2.05,33.62,6.6,28.56,46.56,10.41,264.52,0.33,198.09,2.06,39.89,8.65,2.5,21.24,,,
218,20/01/2022,3.36,2.01,33.61,6.51,28.58,48.01,10.18,262.57,0.31,190.64,2.06,40.11,8.65,2.48,21.11,,,
219,21/01/2022,3.26,1.94,32.99,6.55,28.11,45.7,10.05,258.35,0.28,189.98,1.59,38.85,8.66,2.37,20.98,,,
220,24/01/2022,3,1.92,33.1,6.46,27.77,45.6,10.04,249.43,0.27,185.62,1.5,38.94,8.65,2.31,20.8,,,
221,25/01/2022,2.9,1.85,32.15,6.36,26.77,45.03,9.78,257.51,0.28,179.8,1.42,37.98,8.65,2.25,20.21,,,
222,27/01/2022,2.79,1.82,31.22,6.4,27.07,45.67,9.63,260.35,0.31,186.9,1.39,37.19,8.64,2.15,20.16,,,
223,28/01/2022,3.1,1.83,31.24,6.5,27.47,46.92,9.89,261.55,0.31,183.62,1.38,37.8,8.65,2.17,20.63,,,
224,31/01/2022,3.1,1.89,26.76,6.51,26.53,46.35,9.67,262.42,0.32,188.62,1.48,37.91,8.66,2.24,20.3,,,
225,1/02/2022,3.25,1.88,26.67,6.63,26.53,44.93,9.43,257.46,0.32,192.43,1.52,38.29,8.67,2.27,20.4,,,
226,2/02/2022,3.09,1.91,25.97,6.79,26.89,45.64,9.39,258.79,0.31,189.46,1.54,38.36,8.7,2.25,20.6,,,
227,3/02/2022,2.9,1.91,25.87,6.8,27.07,47.05,9.36,254.61,0.31,192.34,1.42,38.27,8.72,2.13,21.07,,,
228,4/02/2022,2.95,1.94,25.98,6.85,27.09,46.81,9.55,256.98,0.32,194.02,1.49,38.36,8.71,2.16,21.52,,,
229,7/02/2022,2.98,1.95,25.82,6.85,26.57,47.39,9.42,255.61,0.32,201.57,1.48,37.95,8.7,2.16,21.56,,,
230,8/02/2022,2.9,1.98,26.32,6.91,26.96,49.15,9.52,253.71,0.32,197.65,1.5,37.89,8.71,2.21,21.85,,,
231,9/02/2022,2.92,2.08,27.43,7.1,27.42,48.32,9.64,248.5,0.31,193.39,1.51,38.73,8.72,2.33,22.38,,,
232,10/02/2022,3,2.06,26.9,6.93,27.71,48.28,9.57,243.56,0.3,193.28,1.59,37.87,8.72,2.36,22.62,,,
233,11/02/2022,2.8,2.04,26.55,6.63,27.82,48.86,9.47,243,0.3,194.22,1.51,37.18,8.72,2.29,22.78,,,
234,14/02/2022,2.7,2.07,25.76,6.57,28.2,48.33,9.42,263.69,0.28,193.88,1.41,37.51,8.72,2.18,23.88,,,
235,15/02/2022,2.48,2.03,25.47,6.54,27.8,48.18,10,277,0.28,196.99,1.41,37.36,8.72,2.18,23.07,,,
236,16/02/2022,2.47,2.05,26.1,6.7,28.1,47.33,10.01,265.57,0.27,195.65,1.46,38.02,8.72,2.25,23.29,,,
237,17/02/2022,2.36,2.1,26.23,6.68,28.22,47.97,10.1,263.54,0.26,191.11,1.5,38.1,8.72,2.19,23.49,,,
238,18/02/2022,2.4,2.12,26.48,6.65,28.15,47.96,10.13,266.98,0.26,190.71,1.42,37.6,8.72,2.18,23.53,,,
239,21/02/2022,2.26,2.13,25.69,6.61,28.17,48.24,10.23,267.05,0.27,187.28,1.36,36.25,8.72,1.62,23.85,,,
240,22/02/2022,2.05,2.06,25.59,6.53,27.89,47.81,10.13,268.89,0.255,186.5,1.3,35.49,8.72,1.45,23.56,,,
